Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases
-1.7316067489004927,0.7189134397952563,1,2,1,-0.2856286395859996,16,0,7,3,-0.9075835732839896,1,2,1,1,1,-0.7858306710129406,5,3
-1.730718517687925,-1.6486292371745563,1,23,1,0.17885218518331839,18,0,12,3,-0.9075835732839896,1,0,1,1,1,-1.6165522585850673,1,3
-1.7298302864753574,0.3900880679938935,1,11,1,0.5588819509036694,20,2,12,1,-0.9075835732839896,1,1,2,1,1,-0.16278948033384555,2,6
-1.7289420552627899,-1.5170990884540112,1,14,2,1.2767159528198881,38,1,12,1,-0.3490265374929906,1,4,3,1,1,1.6371072927390957,4,6
-1.7280538240502223,0.061262696192530657,1,2,1,-0.45453075768393336,36,1,21,1,-1.4661406090749887,1,1,2,1,1,0.39102491138090567,4,0
-1.7271655928376548,0.12702777055280323,1,20,2,-1.6790711138939534,49,1,23,2,-1.1868620911794894,1,5,4,1,1,-0.7858306710129406,5,6
-1.726277361625087,1.245034034677437,1,16,1,1.0655883051974708,25,1,7,0,-0.7679443143362397,1,3,2,1,1,1.6371072927390957,1,5
-1.7253891304125195,-1.1225086422923756,1,18,1,-1.0879137005511852,17,0,4,3,-0.7679443143362397,1,3,2,1,1,-0.4396966761912211,2,6
-1.724500899199952,-1.1882737166526482,1,4,3,1.5722946594912723,47,0,19,2,-1.6057798680227386,1,5,1,1,1,-1.201191464799004,5,0
-1.7236126679873844,0.8504435885158015,1,7,0,-1.2145902891246354,24,1,16,1,1.4662838288277564,1,4,0,1,1,-1.4780986606563795,1,5
-1.722724436774817,0.5873832910747112,1,17,2,-1.0879137005511852,3,0,17,0,0.48880901619350764,1,2,5,1,1,0.04489091655918616,0,1
-1.7218362055622494,-0.925213419211558,1,18,1,0.3477543032812522,10,2,13,3,1.605923087775507,1,4,5,1,1,-1.0627378668703162,0,3
-1.7209479743496816,1.1135038859568918,1,4,3,0.516656421379186,7,1,6,3,1.0473660519845074,1,4,1,1,1,0.8063857051669691,5,3
-1.720059743137114,1.376564183397982,1,5,1,-0.3700796986349665,28,1,22,1,1.3266445698800071,1,3,1,1,1,0.39102491138090567,4,6
-1.7191715119245465,1.3107991090377096,1,4,3,-0.2856286395859996,31,0,20,3,1.3266445698800071,1,4,2,1,1,0.5987053082739373,3,6
-1.718283280711979,1.3107991090377096,1,19,1,0.8966861870995371,38,1,20,3,-1.3265013501272394,1,2,5,1,1,-1.201191464799004,4,4
-1.7173950494994115,-1.254038791012921,1,22,0,-1.0034626415022183,0,2,7,1,0.48880901619350764,1,5,3,1,1,1.2909732979173763,3,1
-1.7165068182868437,0.5873832910747112,1,5,1,-0.9190115824532513,23,3,10,3,1.3266445698800071,1,3,0,1,1,0.7371589062026251,5,5
-1.7156185870742762,0.5216182167144386,1,23,1,-0.49675628720841686,25,2,1,2,1.1870053109322567,1,0,2,1,1,-0.5781502741199089,1,6
-1.7147303558617086,1.4423292577582547,1,13,1,1.2767159528198881,38,1,8,2,-0.6283050553884905,1,5,4,1,1,1.429426895846064,3,1
-1.713842124649141,-1.5170990884540112,1,13,1,-0.3700796986349665,17,1,1,3,-1.3265013501272394,1,2,1,1,1,1.7063340917034397,1,2
-1.7129538934365736,-0.8594483448512854,1,13,1,0.09440112613435148,32,1,4,3,0.48880901619350764,1,2,5,1,1,-0.23201627929818944,3,5
-1.7120656622240058,0.7846785141555289,1,13,1,-0.9612371119777348,4,1,15,2,-0.7679443143362397,1,1,5,1,1,0.46025171034524953,3,0
